gvkey,conm,fyear,xrd,ni,at,sale,siccd,dlc,dltt
002556,CSS INDUSTRIES INC,2018,8.051,-53.545,285.595,382.263,2670,26.455,0.013
002558,CNA FINANCIAL CORP,2018,,813.0,57152.0,10150.0,6331,0.0,2680.0
002573,CSP INC,2018,3.277,14.44,55.275,72.916,7373,3.547,0.5
002574,CSX CORP,2018,,3309.0,36729.0,12250.0,4011,18.0,14739.0
002577,CTS CORP,2018,25.304,46.532,548.341,470.483,3670,0.0,50.0
002578,TELOS CORP/MD,2018,3.5,-1.64,74.489,138.016,7373,1.115,165.833
002581,CVD EQUIPMENT CORP,2018,0.607,-5.201,52.515,24.334,3559,0.858,12.052
002593,CABOT CORP,2018,66.0,-113.0,3244.0,3242.0,2890,284.0,719.0
002596,CACI INTL INC  -CL A,2018,,301.171,4034.206,4467.86,7373,46.92,1015.42
002615,CALAMP CORP,2018,27.656,18.398,603.626,363.8,3663,0.0,275.905
002620,MUFG AMERICAS HOLDINGS CORP,2018,,1073.0,168100.0,7302.0,6020,36548.0,17918.0
002628,CALIFORNIA WATER SERVICE GP,2018,,65.584,2837.704,698.196,4941,170.011,710.027
002663,CAMPBELL'S CO (THE),2018,110.0,261.0,14529.0,8685.0,2030,1896.0,7998.0
002710,CONSTELLATION BRANDS,2018,,3435.9,29231.5,8116.0,2082,1856.7,11759.8
002735,CAPITAL PROPERTIES INC,2018,0.0,1.261,8.527,5.238,6519,0.0,0.0
002751,CARDINAL HEALTH INC,2018,,256.0,39951.0,136809.0,5122,1001.0,8012.0
002771,CARLISLE COS INC,2018,55.1,610.4,5249.2,4479.5,2950,0.0,1587.8
002783,PROGRESS ENERGY INC,2018,,1027.0,52664.0,10728.0,4911,2907.0,17239.0
002787,CARPENTER TECHNOLOGY CORP,2018,19.3,188.5,3007.0,2157.7,3312,0.0,545.7
002807,CASEYS GENERAL STORES INC,2018,0.0,203.886,3731.376,8364.91,5412,92.205,1283.275
002811,CASTLE (A M) & CO,2018,,-37.145,330.392,581.97,5051,5.617,256.002
002817,CATERPILLAR INC,2018,1850.0,6147.0,78509.0,54722.0,3531,11553.0,25000.0
002818,CATO CORP  -CL A,2018,0.0,30.461,497.906,829.664,5621,0.0,0.0
002820,CAVCO INDUSTRIES INC,2018,,68.622,725.216,962.746,2452,20.597,14.618
002829,R F INDUSTRIES LTD,2018,1.48,5.846,32.502,50.196,3678,0.0,0.0
002849,BBVA COMPASS BANCSHARES INC,2018,,761.448,90947.174,4321.591,6020,452.275,3637.59
002884,LUMEN TECHNOLOGIES INC,2018,,-1733.0,70256.0,23443.0,4813,652.0,35409.0
002940,MAGELLAN HEALTH INC,2018,0.0,24.181,2979.056,7314.151,8741,24.274,728.608
002942,CANTEL MEDICAL CORP,2018,24.646,91.041,963.708,871.922,3845,10.0,187.302
002960,CHEMED CORP,2018,,205.544,975.529,1782.648,8082,0.0,89.2
002968,JPMORGAN CHASE & CO,2018,,32474.0,2622532.0,131412.0,6020,283990.0,249637.0
002986,CHESAPEAKE UTILITIES CORP,2018,,56.58,1693.671,717.489,4923,306.393,316.02
002990,IMUNON INC,2018,16.376,-11.883,46.856,0.5,2836,0.0,9.417
002991,CHEVRON CORP,2018,453.0,14824.0,253863.0,158902.0,2911,5726.0,28733.0
002999,CHICAGO RIVET & MACHINE CO,2018,,2.001,33.247,37.174,3452,0.0,0.0
003007,BRINKER INTL INC,2018,0.0,125.882,1347.34,3135.417,5812,7.088,1499.624
003026,CHURCH & DWIGHT INC,2018,89.7,568.6,6069.2,4145.9,2840,604.3,1587.3
003028,CHURCHILL DOWNS INC,2018,0.0,352.8,1725.2,1009.0,7990,4.0,880.3
003039,DUKE ENERGY OHIO INC,2018,,176.0,8555.0,1957.0,4931,825.0,1614.0
003036,CINCINNATI BELL INC,2018,,-69.8,2730.2,1378.2,4813,21.2,1953.2
003062,CINTAS CORP,2018,,884.981,7436.662,6892.303,7200,312.264,2537.507
003105,IHEARTMEDIA INC,2018,,-201.91,12269.515,6325.78,4832,46.332,5277.108
003107,CLEVELAND-CLIFFS INC,2018,,1128.1,3529.6,2333.4,1000,0.0,2092.9
003121,CLOROX CO/DE,2018,132.0,823.0,5060.0,6124.0,2842,200.0,2284.0
003138,COCA COLA CONSOLIDATED INC,2018,,-19.93,3009.928,4625.364,2086,8.617,1131.034
003144,COCA-COLA CO,2018,,6434.0,83216.0,31856.0,2086,18191.0,25364.0
003153,COEUR MINING INC,2018,,-48.405,1712.5,625.904,1044,24.937,433.889
003157,COHERENT INC,2018,132.586,247.358,2259.969,1902.573,3826,5.072,420.711
003158,COHU INC,2018,56.434,-32.181,1134.002,451.768,3825,6.787,346.041
003169,ONCOMED PHARMACEUTICALS,2018,22.895,-8.101,65.078,44.421,2836,0.0,0.0
003170,COLGATE-PALMOLIVE CO,2018,277.0,2400.0,12161.0,15544.0,2844,12.0,6354.0
003184,CCOM GROUP INC,2018,,3.071,36.68,104.658,5070,13.741,0.603
003198,COLORADO INTERSTATE GAS CO,2018,,143.0,1337.0,338.0,4923,6.0,620.0
003203,CHASE CORP,2018,3.94,43.143,316.469,284.188,2891,0.0,25.0
003226,COMCAST CORP,2018,,11731.0,251684.0,94507.0,4841,4398.0,107345.0
003231,COMERICA INC,2018,,1235.0,70818.0,3595.0,6020,394.0,6113.0
003238,COMMERCE BANCSHARES INC,2018,,433.542,25463.842,1382.354,6020,1956.607,8.484
003243,CITIGROUP INC,2018,,18045.0,1917383.0,96720.0,6199,327848.0,193409.0
003246,COMMERCIAL METALS,2018,,138.506,3328.304,4643.723,3312,19.746,1138.619
003275,COMMUNICATIONS SYSTEMS INC,2018,3.786,-6.792,53.321,65.763,3661,0.0,0.0
003278,AVIS BUDGET GROUP INC,2018,,165.0,19149.0,9124.0,7510,23.0,13760.0
003288,COMPREHENSIVE CARE CORP,2018,0.0,4.83,0.879,0.524,6324,10.825,0.0
003336,DXC TECHNOLOGY CO,2018,,1257.0,29574.0,20753.0,7370,1942.0,5470.0
003342,COMPUTER TASK GROUP INC,2018,,-2.817,124.121,358.769,7370,0.0,3.64
003358,COMTECH TELECOMMUN,2018,53.869,29.769,845.157,570.589,3663,19.047,148.852
003362,CONAGRA BRANDS INC,2018,56.1,678.3,22213.8,9538.4,2000,21.6,10655.7
003369,RAVE RESTAURANT GROUP INC,2018,0.0,1.912,10.986,15.12,6794,0.0,1.562
003382,SHUTTERSTOCK INC,2018,58.897,54.687,531.488,623.25,7370,0.0,0.0
003392,CONNECTICUT LIGHT & POWER CO,2018,,377.717,11409.719,3096.174,4911,250.0,3004.016
003394,CONNECTICUT WATER SVC INC,2018,,16.695,951.869,117.743,4941,58.308,257.511
003410,TRANSCONTINENTAL RLTY INVS,2018,0.0,181.45,862.38,137.877,6513,59.452,371.478
003413,CONSOLIDATED EDISON INC,2018,,1382.0,53920.0,12337.0,4931,3216.0,17495.0
003424,BIGLARI HOLDINGS INC,2018,0.0,19.392,1029.493,809.894,5812,5.72,240.001
003429,CTO REALTY GROWTH INC,2018,,37.168,556.33,86.689,6510,0.0,247.625
003439,CMS ENERGY CORP,2018,,657.0,24529.0,6873.0,4931,1093.0,10684.0
003465,RIVERBEND INDUSTRIES,2018,,-5.856,75.703,163.983,3585,2.2,0.0
003469,CONTINENTAL RESOURCES INC,2018,,988.317,15297.947,4709.586,1311,2.36,5765.989
003502,COOPER TIRE & RUBBER CO,2018,64.007,76.586,2634.205,2808.062,3011,190.048,121.284
003504,COOPER COS INC (THE),2018,84.8,139.9,6112.8,2532.8,3851,37.1,1985.7
003505,MOLSON COORS BEVERAGE CO,2018,,1116.5,30109.8,10769.6,2082,1597.7,8975.9
003532,CORNING INC,2018,993.0,1066.0,27505.0,11290.0,3679,4.0,5994.0
003533,CORNING NATURAL GAS HLDG CP,2018,,2.144,111.743,34.277,4923,10.456,36.637
003562,COUSINS PROPERTIES INC,2018,0.0,79.164,4146.296,487.436,6798,10.997,1051.573
003570,CRACKER BARREL OLD CTRY STOR,2018,,247.62,1527.355,3030.445,5812,0.0,400.0
003580,CRANE CO,2018,58.4,335.6,4042.7,3345.5,3490,6.9,942.3
003581,CRAWFORD & CO,2018,,25.978,701.442,1122.979,6411,23.284,167.126
003591,ONEMAIN FINANCE CORP,2018,,461.0,20309.0,4217.0,6141,0.0,15178.0
003592,ONEMAIN HOLDINGS INC,2018,,447.0,20090.0,4241.0,6141,0.0,15178.0
003619,CROWN HOLDINGS INC,2018,51.0,439.0,15262.0,11151.0,3411,175.0,8517.0
003622,CROWN CRAFTS INC,2018,,5.019,54.779,76.381,2211,0.0,4.486
003639,CUBIC CORP,2018,52.398,12.31,1304.883,1202.898,3578,0.0,208.849
003643,CULLEN/FROST BANKERS INC,2018,,454.918,32292.966,1397.287,6020,1367.548,234.95
003647,CULP INC,2018,,5.676,219.726,296.669,2211,0.0,0.675
003650,CUMMINS INC,2018,894.0,2141.0,19062.0,23771.0,3510,879.0,1597.0
003662,CURTISS-WRIGHT CORP,2018,64.525,275.749,3255.385,2411.835,3728,0.243,762.313
003691,GT BIOPHARMA INC,2018,237.582,-259.186,25.399,0.0,2834,10.804,0.0
003708,WENDY'S CO,2018,,460.115,4292.035,1589.936,5812,31.655,2752.783
